,annotation,id,name,parents,steps,tags
0,,a68b2e8c49b60b2e,Übung2,"{1: [], 2: [1], 3: [2]}","[fastq_groomer, cshl_fastq_quality_filter, cshl_fastx_trimmer]",
1,,a361743f75a79151,Top gene hits from peaks,"{1: [], 2: [], 3: [2], 4: [3], 5: [4], 6: [4], 7: [5], 8: [6], 9: [8]}","[tp_replace_in_column, Add_a_column1, Add_a_column1, Cut1, gops_intersect_1, gops_intersect_1, Grouping1, Grouping1, tp_sort_header_tool]",
2,,aa94b507279e9633,TSS+/-x,{1: []},[get_flanks1],
3,,a0a80dcf4d4cd85f,BlockClustWorkflow_complete,"{1: [], 2: [1], 3: [2], 4: [3], 5: [4], 6: [5], 7: [4, 6]}","[blockclust, sort1, blockbuster, blockclust, Extract genomic DNA 1, infernal_cmsearch, blockclust]",
4,,ae32b4921333b552,Workflow constructed from history 'Inoduction',"{2: [], 3: [], 4: [], 5: [], 6: [5], 7: [6], 8: [7]}","[Cut1, CONVERTER_interval_to_bedstrict_0, CONVERTER_interval_to_bed_0, get_flanks1, gops_intersect_1, Count1, barchart_gnuplot]",
5,,a45ef30dc287f30a,GLIMMER_to_GFF,"{0: [], 1: [0], 2: [1], 3: [2], 4: [3], 5: [4], 6: [5], 7: [6], 8: [7], 9: [7], 10: [9], 11: [8, 10], 12: [11]}","[Remove beginning1, Cut1, addValue, addValue, addValue, addValue, Cut1, cshl_sed_tool, Filter1, Filter1, Cut1, cat1, Cut1]",
6,,a03bf74e1e29dfbc,Workflow constructed from history 'GalaxyIntroduction',"{2: [], 3: [2], 4: [3]}","[gops_intersect_1, Count1, barchart_gnuplot]",
7,,a837b273789b0ba6,FLASHseq_full_hisat2_hg19 editdist nonunique bamout cleanup,"{4: [], 5: [], 6: [4], 7: [4], 8: [5], 9: [5], 10: [7], 11: [10], 12: [10, 11, 6], 13: [12], 14: [12], 15: [8, 12, 13], 16: [9, 12, 14], 17: [15], 18: [16], 19: [17], 20: [17], 21: [18], 22: [18], 23: [19], 24: [20], 25: [21], 26: [22], 27: [24, 7], 28: [24], 29: [26, 7], 30: [26], 31: [27], 32: [28], 33: [29], 34: [30], 35: [31], 36: [31], 37: [33], 38: [33], 39: [35], 40: [20, 36], 41: [37], 42: [22, 38], 43: [32, 39, 23], 44: [25, 34, 41]}","[flexbar_no_split, tp_sed_tool, remove_tail.py, extract_bcs.py, tp_awk_tool, tp_awk_tool, extract_bcs.py, convert_bc_to_binary_RY.py, flexbar_split_RR_bcs, extract_bcs.py, extract_bcs.py, flexbardsc, flexbardsc, hisat2, hisat2, samtools_flagstat, bamFilter, samtools_flagstat, bamFilter, tp_awk_tool, extract_aln_ends.py, tp_awk_tool, extract_aln_ends.py, merge_pcr_duplicates.py, wc_gnu, merge_pcr_duplicates.py, wc_gnu, rm_spurious_events.py, tp_awk_tool, rm_spurious_events.py, tp_awk_tool, wc_gnu, tp_cut_tool, wc_gnu, tp_cut_tool, tp_awk_tool, picard_FilterSamReads, tp_awk_tool, picard_FilterSamReads, cat1, cat1]",
8,,ad636b33b71b6d8f,"Add ""chr"" at beginning of each line","{1: [], 2: [1], 3: [2]}","[addValue, mergeCols1, Cut1]",
9,,a4a216feba252d25,Peaks to genes 2,"{2: [], 3: [2], 4: [3]}","[gops_intersect_1, Grouping1, tp_sort_header_tool]",
